Name,Owner,Stars,Forks,Last Updated,License,URL
public-apis,public-apis,331731,35085,2024-10-31T19:50:02Z,MIT License,https://github.com/public-apis/public-apis
system-design-primer,donnemartin,291702,48456,2024-12-02T01:10:39Z,Other,https://github.com/donnemartin/system-design-primer
awesome-python,vinta,236890,25394,2024-08-11T17:10:18Z,Other,https://github.com/vinta/awesome-python
Python,TheAlgorithms,198317,46394,2025-03-11T14:29:13Z,MIT License,https://github.com/TheAlgorithms/Python
AutoGPT,Significant-Gravitas,173274,45314,2025-03-12T19:02:57Z,Other,https://github.com/Significant-Gravitas/AutoGPT
stable-diffusion-webui,AUTOMATIC1111,149302,27871,2025-03-04T16:11:29Z,GNU Affero General Public License v3.0,https://github.com/AUTOMATIC1111/stable-diffusion-webui
transformers,huggingface,141071,28254,2025-03-12T19:03:05Z,Apache License 2.0,https://github.com/huggingface/transformers
youtube-dl,ytdl-org,134626,10239,2025-03-11T02:00:24Z,The Unlicense,https://github.com/ytdl-org/youtube-dl
yt-dlp,yt-dlp,103861,8144,2025-03-07T21:14:38Z,The Unlicense,https://github.com/yt-dlp/yt-dlp
HelloGitHub,521xueweihan,99609,9834,2025-03-10T10:04:23Z,N/A,https://github.com/521xueweihan/HelloGitHub
DeepSeek-V3,deepseek-ai,91906,14891,2025-02-24T03:50:20Z,MIT License,https://github.com/deepseek-ai/DeepSeek-V3
thefuck,nvbn,90717,3641,2024-07-19T14:56:13Z,MIT License,https://github.com/nvbn/thefuck
pytorch,pytorch,87819,23574,2025-03-12T19:39:59Z,Other,https://github.com/pytorch/pytorch
django,django,82682,32364,2025-03-12T19:40:13Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/django/django
fastapi,fastapi,81938,7076,2025-03-10T17:28:24Z,MIT License,https://github.com/fastapi/fastapi
whisper,openai,77980,9339,2025-01-04T20:56:17Z,MIT License,https://github.com/openai/whisper
models,tensorflow,77435,45664,2025-03-11T19:24:52Z,Other,https://github.com/tensorflow/models
core,home-assistant,77062,32845,2025-03-12T19:19:09Z,Apache License 2.0,https://github.com/home-assistant/core
manim,3b1b,75981,6602,2025-02-26T15:52:59Z,MIT License,https://github.com/3b1b/manim
funNLP,fighting41love,71578,14733,2024-05-10T07:38:24Z,N/A,https://github.com/fighting41love/funNLP
ComfyUI,comfyanonymous,70675,7638,2025-03-12T19:31:48Z,GNU General Public License v3.0,https://github.com/comfyanonymous/ComfyUI
devops-exercises,bregman-arie,70152,15650,2025-01-25T17:57:43Z,Other,https://github.com/bregman-arie/devops-exercises
flask,pallets,69048,16318,2025-01-05T17:10:05Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/pallets/flask
screenshot-to-code,abi,68998,8489,2025-02-25T21:04:08Z,MIT License,https://github.com/abi/screenshot-to-code
gpt_academic,binary-husky,67868,8320,2025-03-10T15:44:57Z,GNU General Public License v3.0,https://github.com/binary-husky/gpt_academic
