Name,Owner,Stars,Forks,Last Updated,License,URL
public-apis,public-apis,332598,35141,2024-10-31T19:50:02Z,MIT License,https://github.com/public-apis/public-apis
system-design-primer,donnemartin,291852,48490,2024-12-02T01:10:39Z,Other,https://github.com/donnemartin/system-design-primer
awesome-python,vinta,237070,25401,2024-08-11T17:10:18Z,Other,https://github.com/vinta/awesome-python
Python,TheAlgorithms,198378,46396,2025-03-11T14:29:13Z,MIT License,https://github.com/TheAlgorithms/Python
AutoGPT,Significant-Gravitas,173379,45333,2025-03-14T18:09:03Z,Other,https://github.com/Significant-Gravitas/AutoGPT
stable-diffusion-webui,AUTOMATIC1111,149404,27896,2025-03-04T16:11:29Z,GNU Affero General Public License v3.0,https://github.com/AUTOMATIC1111/stable-diffusion-webui
transformers,huggingface,141216,28281,2025-03-14T17:49:34Z,Apache License 2.0,https://github.com/huggingface/transformers
youtube-dl,ytdl-org,134658,10240,2025-03-11T02:00:24Z,The Unlicense,https://github.com/ytdl-org/youtube-dl
yt-dlp,yt-dlp,104071,8160,2025-03-13T04:37:33Z,The Unlicense,https://github.com/yt-dlp/yt-dlp
HelloGitHub,521xueweihan,99671,9837,2025-03-10T10:04:23Z,N/A,https://github.com/521xueweihan/HelloGitHub
DeepSeek-V3,deepseek-ai,92135,14936,2025-02-24T03:50:20Z,MIT License,https://github.com/deepseek-ai/DeepSeek-V3
thefuck,nvbn,90783,3642,2024-07-19T14:56:13Z,MIT License,https://github.com/nvbn/thefuck
pytorch,pytorch,87894,23592,2025-03-14T18:09:07Z,Other,https://github.com/pytorch/pytorch
django,django,82708,32368,2025-03-14T09:51:50Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/django/django
fastapi,fastapi,82017,7083,2025-03-10T17:28:24Z,MIT License,https://github.com/fastapi/fastapi
whisper,openai,78097,9357,2025-01-04T20:56:17Z,MIT License,https://github.com/openai/whisper
models,tensorflow,77440,45662,2025-03-14T06:07:58Z,Other,https://github.com/tensorflow/models
core,home-assistant,77098,32872,2025-03-14T16:24:39Z,Apache License 2.0,https://github.com/home-assistant/core
manim,3b1b,76048,6608,2025-02-26T15:52:59Z,MIT License,https://github.com/3b1b/manim
funNLP,fighting41love,71639,14739,2024-05-10T07:38:24Z,N/A,https://github.com/fighting41love/funNLP
ComfyUI,comfyanonymous,70922,7671,2025-03-14T17:42:25Z,GNU General Public License v3.0,https://github.com/comfyanonymous/ComfyUI
devops-exercises,bregman-arie,70220,15663,2025-01-25T17:57:43Z,Other,https://github.com/bregman-arie/devops-exercises
flask,pallets,69062,16322,2025-01-05T17:10:05Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/pallets/flask
screenshot-to-code,abi,69040,8494,2025-02-25T21:04:08Z,MIT License,https://github.com/abi/screenshot-to-code
gpt_academic,binary-husky,67902,8323,2025-03-10T15:44:57Z,GNU General Public License v3.0,https://github.com/binary-husky/gpt_academic
awesome-machine-learning,josephmisiti,67213,14808,2025-02-13T13:51:00Z,Other,https://github.com/josephmisiti/awesome-machine-learning
d2l-zh,d2l-ai,67051,11395,2024-07-30T09:32:19Z,Apache License 2.0,https://github.com/d2l-ai/d2l-zh
cpython,python,65760,31316,2025-03-14T17:11:32Z,Other,https://github.com/python/cpython
ansible,ansible,64306,23996,2025-03-13T11:24:37Z,GNU General Public License v3.0,https://github.com/ansible/ansible
PayloadsAllTheThings,swisskyrepo,63873,15121,2025-03-13T09:50:01Z,MIT License,https://github.com/swisskyrepo/PayloadsAllTheThings
